Lista depurada
Company Name,Brand,Website,CIF (Fiscal Number in Spain),Phone number,Company email,Industry,Contacts,Contact's Title,Linkedin,Facebook,Twitter,Instagram,City,Facturacion,Empleados
,General Asde,http://www.generalasde.com/,A46328902,,,,,,,,,,,,
Deluxe Fusion Sociedad Limitada.,,,B98839103,,,,,,,,,,,,
Mantenimiento De Alta Tension Sa,STM Voltia,https://www.stmsa.com/,A48425896,,,,,,,,,,,,
,Varea Carnes,http://www.carnesvarea.com/,,,,,,,,,,,,,
Jojuve Trans Sociedad Limitada.,,,B98690928,,,,,,,,,,,,
Mercadona SA,Mercadona,mercadona.es,,,,,,,,,,,,,
